ALL SCHOOLS,ADDRESS,SCHOOL PD,original address,latitude,longitude,",",,,,,768928,103.8300549,1.4360948
CANOSSA CONVENT PRIMARY SCHOOL,107 CIRCUIT ROAD,379481,107 CIRCUIT ROAD,43.693055,-71.055101,",",,,,,558979,103.8639303,1.3577786
CANTONMENT PRIMARY SCHOOL,1 Cantonment Close,88256,1 Cantonment Close,1.27562,103.84,",",,,,,319764,103.846199,1.3315585
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41,518935,30 PASIR RIS ST 41,1.372421,103.957724,",",,,,,569250,103.8583979,1.36403465
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22,579767,9 BISHAN STREET 22,1.355193,103.846228,",",,,,,569405,103.8340606,1.3734614
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,129 WHITLEY ROAD,35.716397,-78.252629,",",,,,,529392,103.9509206,1.35054425
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE,349692,1 CEDAR AVENUE,38.879905,-76.506399,",",,,,,768959,103.8392901,1.4387276
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE,349700,15 CEDAR AVENUE,39.303269,-76.473068,",",,,,,737924,103.7931451,1.42666655
CHAI CHEE SECONDARY SCHOOL,5 SENNETT ROAD,466781,5 SENNETT ROAD,1.315771,103.938335,",",,,,,439012,103.8917557,1.30537335
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3,529894,23 SIMEI ST 3,1.340939,103.952619,",",,,,,129903,103.7646963,1.3159636
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3,529896,11 SIMEI ST 3,1.340164,103.951801,",",,,,,127443,103.7647711,1.30651675
CHESTNUT DRIVE SECONDARY SCHOOL,58 CHESTNUT DRIVE,679301,58 CHESTNUT DRIVE,40.93818,-74.258994,",",,,,,545091,103.8980088,1.3944704
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD,424821,17 MARTIA ROAD,1.306931,103.910846,",",,,,,608784,103.7456599,1.31965635
CHIJ (KELLOCK),1 Bukit Teresa Road,99757,1 Bukit Teresa Road,1.275051,103.827987,",",,,,,545083,103.900147,1.39652095
CHIJ KATONG CONVENT,346 MARINE TERRACE,449150,346 MARINE TERRACE,1.306597,103.917751,",",,,,,518902,103.9510047,1.36843385
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive,558979,2C Burghley Drive,1.35732,103.863998,",",,,,,518901,103.9489438,1.36757525
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,1257 UPPER SERANGOON ROAD,1.372971,103.898088,",",,,,,569185,103.8593842,1.37217565
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive,679287,4 Chestnut Drive,38.401563,-82.409614,",",,,,,609561,103.742802,1.34389145
CHIJ PRIMARY (TOA PAYOH),430 Lorong 1 Toa Payoh,319759,430 Lorong 1 Toa Payoh,1.340196,103.843209,",",,,,,479229,103.9268263,1.33770855
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH,319764,626 LORONG 1 TOA PAYOH,1.332007,103.842993,",",,,,,648347,103.7076769,1.35149865
CHIJ ST. JOSEPH'S CONVENT,62 SENG KANG EAST WAY,548595,62 SENG KANG EAST WAY,1.391747,103.902461,",",,,,,479226,103.9213293,1.33547405
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13,569405,501 ANG MO KIO STREET 13,1.373744,103.834301,",",,,,,569277,103.852191,1.3667377
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD,99138,160 LOWER DELTA ROAD,1.276121,103.822486,",",,,,,688845,103.7518903,1.3834847
CHONG BOON SECONDARY SCHOOL,2 ANG MO KIO STREET 44,569250,2 ANG MO KIO STREET 44,1.363994,103.858355,",",,,,,689285,103.7432593,1.3950086
CHONGFU SCHOOL,170 YISHUN AVENUE 6,768959,170 YISHUN AVENUE 6,1.438563,103.839285,",",,,,,529093,103.9560139,1.36116845
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21,529392,1 TAMPINES STREET 21,1.350835,103.951438,",",,,,,469031,103.919902,1.3295133
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17,737924,20 WOODLANDS DRIVE 17,1.426395,103.793419,",",,,,,436895,103.8731869,1.2964603
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2,689905,20 CHOA CHU KANG AVENUE 2,1.378056,103.741723,",",,,,,529258,103.961887,1.3528929
CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT,688845,3 TECK WHYE CRESCENT,1.382406,103.752382,",",,,,,828814,103.9023124,1.4002065
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD,439012,50 GOODMAN ROAD,43.409469,-73.554702,",",,,,,529231,103.9610806,1.35697385
CHUNG CHENG HIGH SCHOOL (YISHUN),11 Yishun St 61,768547,11 Yishun St 61,1.418737,103.837311,",",,,,,419529,103.9045853,1.32463215
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3,129903,8 CLEMENTI AVE 3,1.315403,103.763253,",",,,,,529177,103.9493169,1.3581717
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3,129904,10 CLEMENTI AVE 3,1.315501,103.762094,",",,,,,139648,103.7851178,1.2997446
CLEMENTI WOODS SECONDARY SCHOOL,170 WEST COAST ROAD,127443,170 WEST COAST ROAD,40.11541,-123.814138,",",,,,,738908,103.7947361,1.44383025
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD,608784,698 WEST COAST ROAD,1.3192,103.745652,",",,,,,757521,103.817531,1.4542204
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST,545091,21 COMPASSVALE ST,1.39418,103.897901,",",,,,,738489,103.7940238,1.44173915
COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT,545083,51 COMPASSVALE CRESCENT,1.396086,103.899711,",",,,,,678972,103.764019,1.37537655
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4,689814,3 CHOA CHU KANG AVE 4,1.380026,103.73625,",",,,,,469680,103.9318825,1.3300987
